Time(s), Force_Z
0.5029, 0.00144032
0.5029, 0.00138419
0.5044, -0.00121742
0.5044, -0.00001883
0.5060, 0.00255641
0.5060, 0.00252226
0.5060, 0.00249235
0.5060, -0.00251966
0.5060, 0.00125598
0.5060, -0.00264432
0.5073, 0.00250912
0.5073, 0.00126656
0.5073, 0.00121745
0.5073, -0.00134563
0.5093, 0.00247829
0.5093, 0.00247912
0.5093, -0.00123396
0.5093, 0.00251690
0.5093, -0.00125519
0.5103, 0.00129889
0.5103, 0.00379865
0.5103, -0.00005941
0.5103, -0.00115592
0.5117, -0.00004520
0.5127, -0.00377951
0.5127, -0.00008298
0.5141, -0.00124122
0.5141, 0.00133154
0.5141, 0.00247912
0.5141, 0.00131385
0.5194, 0.00258692
0.5199, 0.00251259
0.5199, -0.00123064
0.5199, -0.00241767
0.5199, 0.00130788
0.5199, -0.00141061
0.5199, -0.00250024
0.5199, -0.00236592
0.5199, 0.00005747
0.5219, -0.00253522
0.5234, 0.00128417
0.5234, 0.00124284
0.5234, -0.00125519
0.5259, 0.00367423
0.5259, 0.00254145
0.5269, 0.00134022
0.5340, -0.00123147
0.5340, -0.00003206
0.5353, -0.00122007
0.5353, 0.00249250
0.5353, -0.00124477
0.5353, 0.00240100
0.5353, 0.00120589
0.5353, 0.00120953
0.5378, -0.00238880
0.5378, -0.00123147
0.5378, -0.00000932
0.5499, -0.00632665
0.5499, 0.00001094
0.5499, -0.00246412
0.5499, 0.00506577
0.5499, 0.00010128
0.5499, -0.00255744
0.5499, 0.00132194
0.5515, 0.00011972
0.5515, -0.00001883
0.5515, 0.00008203
0.5515, -0.00246776
0.5648, 0.00237743
0.5658, -0.00135885
0.5658, 0.00007160
0.5658, 0.00120589
0.5658, 0.00123324
0.5669, 0.00133145
0.5669, -0.00128223
0.5669, -0.00246692
0.5680, 0.00273539
0.5680, 0.00126558
0.5680, -0.00128171
0.5680, -0.00002941
0.5699, 0.00006186
0.5699, -0.00121122
0.5699, -0.00121462
0.5802, -0.00387879
0.5802, -0.00240543
0.5802, 0.00247912
0.5814, -0.00117707
0.5814, 0.00118927
0.5824, 0.00372168
0.5824, -0.00124280
0.5834, -0.00126214
0.5834, -0.00249329
0.5834, 0.00251327
0.5848, 0.00002053
0.5848, -0.00119733
0.5859, 0.00132359
0.5859, 0.00256004
0.5859, 0.00378220
0.5859, -0.00111558
0.5881, 0.00000737
0.5965, 0.00125416
0.5965, 0.00489722
0.5965, 0.00249333
0.5965, -0.00005661
0.5975, -0.00002594
0.5975, 0.00253269
0.5975, 0.00118927
0.5975, 0.00247995
0.5975, -0.00133165
0.5988, -0.00255479
0.5988, -0.00244601
0.5988, 0.00124382
0.5988, 0.00129028
0.5988, 0.00119025
0.5988, -0.00484989
0.5988, 0.00385601
0.5988, 0.00253979
0.5988, 0.00130434
0.5988, 0.00009517
0.6111, -0.00005381
0.6135, 0.00242820
0.6145, 0.00129111
0.6145, 0.00120324
0.6145, 0.00377773
0.6145, 0.00008823
0.6145, -0.00003304
0.6145, -0.00136052
0.6145, 0.00006457
0.6160, 0.00243878
0.6267, -0.00109284
0.6267, 0.00250912
0.6267, 0.00118927
0.6280, -0.00000154
0.6288, -0.00003304
0.6288, -0.00251868
0.6288, -0.00115592
0.6300, -0.00131496
0.6300, -0.00000932
0.6300, 0.00008301
0.6311, -0.00243972
0.6311, -0.00131827
0.6311, -0.00120079
0.6311, 0.00240894
0.6311, 0.00123936
0.6321, 0.00258724
0.6335, 0.00022255
0.6335, 0.00246863
0.6425, -0.00257473
0.6448, -0.00125436
0.6448, -0.00625911
0.6448, -0.00007240
0.6448, -0.00363220
0.6448, 0.00001705
0.6448, 0.00133410
0.6448, -0.00122799
0.6448, 0.00251607
0.6448, -0.00242212
0.6448, -0.00127379
0.6448, -0.00249776
0.6448, -0.00127099
0.6448, 0.00247912
0.6448, -0.00133332
0.6461, -0.00244304
0.6475, -0.00006092
0.6575, 0.00130690
0.6575, -0.00254588
0.6575, 0.00125243
0.6586, 0.00131748
0.6586, 0.00121662
0.6586, 0.00500087
0.6586, 0.00250632
0.6586, 0.00245192
0.6586, -0.00122370
0.6586, -0.00006024
0.6586, 0.00124102
0.6586, -0.00122551
0.6586, -0.00238964
0.6744, 0.00126376
0.6744, -0.00130528
0.6744, 0.00252575
0.6744, -0.00116566
0.6744, -0.00113062
0.6744, 0.00497367
0.6744, 0.00123688
0.6744, 0.00511412
0.6744, 0.00129194
0.6744, 0.00124465
0.6744, -0.00117790
0.6744, 0.00122440
0.6744, -0.00129032
0.6902, 0.00239125
0.6902, 0.00123589
0.6902, 0.00125681
0.6902, 0.00013212
0.6902, 0.00253087
0.6916, -0.00245635
0.6916, 0.00246333
0.6916, -0.00252148
0.6916, 0.00131748
0.6916, -0.00122105
0.6916, -0.00122105
0.6916, -0.00128603
0.6941, -0.00134563
0.6941, -0.00002511
0.6941, 0.00129739
0.7046, 0.00246854
0.7060, -0.00004263
0.7060, -0.00126834
0.7060, 0.00001177
0.7072, -0.00244320
0.7072, 0.00109892
0.7072, -0.00002941
0.7072, 0.00004872
0.7072, 0.00009517
0.7072, -0.00122105
0.7072, -0.00245808
0.7072, -0.00131926
0.7084, 0.00255278
0.7084, 0.00002235
0.7084, 0.00014972
0.7092, 0.00010938
0.7102, 0.00001359
0.7102, -0.00003372
0.7102, -0.00122519
0.7200, 0.00007492
0.7213, 0.00128417
0.7213, 0.00122720
0.7213, 0.00002151
0.7213, -0.00002073
0.7224, -0.00125436
0.7224, -0.00122188
0.7234, 0.00388321
0.7249, -0.00004520
0.7263, 0.00127970
0.7263, -0.00261069
0.7263, 0.00379269
0.7278, 0.00250367
0.7278, 0.00136145
0.7278, -0.00007240
0.7278, 0.00004788
0.7278, -0.00246692
0.7357, -0.00126834
0.7357, 0.00237463
0.7357, -0.00114376
0.7377, 0.00126656
0.7377, 0.00122267
0.7377, -0.00010934
0.7377, 0.00496408
0.7377, 0.00124465
0.7377, 0.00000126
0.7377, -0.00000205
0.7377, -0.00130347
0.7377, 0.00118051
0.7391, 0.00001970
0.7401, -0.00002511
0.7401, 0.00364356
0.7401, -0.00122105
0.7401, -0.00250024
0.7401, 0.00001440
0.7519, -0.00120079
0.7531, 0.00003466
0.7531, 0.00124284
0.7531, 0.00377857
0.7531, -0.00003998
0.7531, 0.00005498
0.7531, -0.00253099
0.7531, 0.00000489
0.7531, 0.00005581
0.7545, 0.00233429
0.7568, -0.00117013
0.7568, -0.00244684
0.7699, 0.00136840
0.7699, 0.00248523
0.7699, -0.00248966
0.7699, 0.00118844
0.7699, -0.00113681
0.7699, 0.00122010
0.7699, -0.00127197
0.7699, 0.00370143
0.7699, 0.00251425
0.7735, -0.00371545
0.7735, 0.00378831
0.7735, 0.00122878
0.7735, 0.00372681
0.7735, 0.00000572
0.7735, -0.00253364
0.7735, 0.00130690
0.7875, 0.00119290
0.7875, -0.00001626
0.7888, -0.00003635
0.7888, 0.00003731
0.7888, 0.00134468
0.7888, 0.00496673
0.7888, -0.00124825
0.7901, -0.00116650
0.7901, 0.00003814
0.7911, 0.00115066
0.7925, 0.00373474
0.7925, 0.00253004
0.7925, 0.00115596
0.7936, 0.00370491
0.7936, 0.00264231
0.7947, 0.00115149
0.7947, -0.00247024
0.7947, 0.00248192
0.7947, 0.00129632
0.7947, -0.00257588
0.8022, 0.00124382
0.8027, 0.00111478
0.8027, -0.00125519
0.8027, 0.00363993
0.8041, -0.00369883
0.8056, 0.00121382
0.8056, -0.00255562
0.8056, -0.00246081
0.8056, -0.00121220
0.8056, 0.00239737
0.8056, 0.00382866
0.8068, -0.00124379
0.8068, 0.00006797
0.8081, 0.00505263
0.8081, -0.00001626
0.8081, 0.00375500
0.8081, 0.00121481
0.8096, 0.00251243
0.8176, -0.00246246
